"","STATION","ELEVATION","LAT","LON","TF_START","TF_END","1","2","3","4","5","6","7","8","9","10","11","12"
"227","47058099999","35.66","39.224061","125.67015","1990-01-01","2019-12-31",-15.78,-12.5,-5.28,0.72,7.89,13.89,18.28,17.89,10.22,1.28,-5.89,-13.39
"229","47110099999","17.67","37.558311","126.790586","1990-01-01","2019-12-31",-14,-11,-5,1,8,14,19,19,11,2,-4,-11
"231","47153099999","1.82","35.179528","128.938222","1990-01-01","2019-12-31",-7,-5,-1,4,10,16,20,20,15,7,0,-5
"233","47182099999","35.96","33.511306","126.493028","1990-01-01","2019-12-31",0,0,3,6,11,16,20,22,17,12,7,2
"235","47479099999","7.62","43.116139","141.38022","1990-01-01","2019-12-31",-15,-15,-9,-1,5,11,15,16,9,2,-3,-10
"237","47635099999","15.84","35.255","136.924444","1990-01-01","2019-12-31",-3,-2,0,5,11,17,21,22,17,10,4,-1
"239","47671099999","10.66","35.552258","139.779694","1990-01-01","2019-12-31",0,1,3,7,13,17,20,22,18,13,7,2
"241","47808099999","9.75","33.585942","130.450686","1990-01-01","2019-12-31",-1,0,2,7,12,17,22,23,17,11,5,1
"243","48008099999","147","25.3666666","97.4","1990-01-01","2019-12-31",8.78,10.5,13.78,17.28,20.22,23,23,23,22.5,18.72,13.28,9.78
"245","48042099999","76","21.9833333","96.1","1990-01-01","2019-12-31",12.22,13.61,17.11,21.5,23,24.72,24.78,24.5,24,22.72,17,13
"247","48097099999","33.22","16.907305","96.133222","1990-01-01","2019-12-31",14,15.78,18.5,21.5,21.5,21,20.5,20.61,20.5,20.78,18.5,14.89
"249","48327099999","315.77","18.766847","98.962644","1990-01-01","2019-12-31",12,13,16.72,20.61,22,23,23,22.78,22,20.61,16,12.5
"251","48456099999","2.74","13.912583","100.60675","1990-01-01","2019-12-31",19.39,20.78,23.39,24,24,24,24,24,23.78,23.5,21.61,18.89
"253","48565099999","24.99","8.1132","98.316872","1990-01-01","2019-12-31",21,21.28,22,22.5,22.61,22.89,22.78,22.61,22.39,22.28,22.11,21.28
"255","48647099999","27.43","3.130583","101.549333","1990-01-01","2019-12-31",22.39,22.5,23,23.39,23.72,23.22,23,22.89,22.78,22.89,23,22.78
"257","48698099999","6.7","1.350189","103.994433","1990-01-01","2019-12-31",23,23.11,23,23.5,23.61,23.11,23,23,23,23.22,23.11,23
"259","48820099999","11.88","21.221192","105.807178","1990-01-01","2019-12-31",10,11,14,18,21.5,24,24,24,23,19,15,10
"261","48900099999","10.05","10.818797","106.651856","1990-01-01","2019-12-31",19,20.11,22.89,24,23.61,23,23,23,23,22.89,21.39,19.39
"263","48940099999","171.9","17.988322","102.563256","1990-01-01","2019-12-31",14,16,19,22,23.5,24,23.78,23.61,23,21.22,17,14
"265","48991099999","12.19","11.546556","104.844139","1990-01-01","2019-12-31",20,21,23.28,24.61,25,24.22,24,24,24,24,23,20
"267","50136099999","438","52.9666666","122.5333333","1990-01-01","2019-12-31",-42.11,-39.28,-33.22,-16,-5.72,1.11,5.39,1.5,-6.78,-19.11,-35.61,-40.61
"269","50745099999","145.38","47.239628","123.918131","1990-01-01","2019-12-31",-29.11,-25.39,-18,-5.5,3.5,11.39,15.72,13.22,3.89,-5.5,-19.5,-26.72
"271","51463599999","647.7","43.907106","87.474244","1990-01-01","2019-12-31",-24,-20,-11,0,8,15,17,15,8,-1,-12,-20
"273","51828099999","1375","37.1333333","79.9333333","1990-01-01","2019-12-31",-12.28,-7.39,-0.22,6.28,10.89,15.11,16.5,15.39,11.28,3.22,-3.72,-9.78
"275","52866099999","2262","36.6166667","101.7666667","1990-01-01","2019-12-31",-18.78,-15.61,-9.78,-3.11,1.28,5.22,7.61,6.61,3,-3.78,-11.28,-16.78
"277","53463099999","1083.86","40.851422","111.824103","1990-01-01","2019-12-31",-24,-20,-12,-4,3,10,13.61,11,3,-4.89,-14,-21
