"","STATION","ELEVATION","LAT","LON","TF_START","TF_END","1","2","3","4","5","6","7","8","9","10","11","12"
"221","44454099999","1338.07","27.696592","85.359192","1990-01-01","2019-12-31",22,25.5,28.5,31.78,32,32,30.78,31,30.5,29.39,26,22.5
"223","45007099999","8.53","22.308919","113.914603","1990-01-01","2019-12-31",24,25.78,27.28,30.39,33,34,34.89,34.89,34,32,29,25.28
"225","46696099999","5.48","25.069444","121.551667","1990-01-01","2019-12-31",25,27,28.28,31,34,35,36,36,35,32,30,26
"227","47058099999","35.66","39.224061","125.67015","1990-01-01","2019-12-31",4.61,8.5,15.5,23.5,28.11,31.22,32.28,32.78,29.11,23.89,16.39,7.5
"229","47110099999","17.67","37.558311","126.790586","1990-01-01","2019-12-31",7,10,16,23,27,30,32,34,29,24,18,10
"231","47153099999","1.82","35.179528","128.938222","1990-01-01","2019-12-31",12,14,18,23,27,29,33,34,30,26,21,15
"233","47182099999","35.96","33.511306","126.493028","1990-01-01","2019-12-31",12,14,18,22,25,28,32,33,29,24,20,15
"235","47479099999","7.62","43.116139","141.38022","1990-01-01","2019-12-31",3,4,8,17,23,26,29,29,27,20,15,6
"237","47635099999","15.84","35.255","136.924444","1990-01-01","2019-12-31",12,14,19,24,28,31,36,36,33,27,21,15
"239","47671099999","10.66","35.552258","139.779694","1990-01-01","2019-12-31",13,15,19,23,26,29,33,34,32,26,21,16
"241","47808099999","9.75","33.585942","130.450686","1990-01-01","2019-12-31",14,15,19,24,28,31,34,35,32,27,22,17
"243","48008099999","147","25.3666666","97.4","1990-01-01","2019-12-31",28,31.28,34.5,37.22,37.39,35,34.5,35.22,35.39,34.5,31.22,28.28
"245","48042099999","76","21.9833333","96.1","1990-01-01","2019-12-31",32,36,39.61,41.22,41,38.22,38,36.61,36.39,35.61,34.22,31.61
"247","48097099999","33.22","16.907305","96.133222","1990-01-01","2019-12-31",35,37,38.5,39.78,39,33.5,32.61,32.5,33.5,35,35.28,35
"249","48327099999","315.77","18.766847","98.962644","1990-01-01","2019-12-31",32.28,35.28,38,40,38,36,35,34.11,34.22,34,33.22,32
"251","48456099999","2.74","13.912583","100.60675","1990-01-01","2019-12-31",34.39,36,37,38.22,37.61,36.11,35.72,35.28,35.11,35,35,34.11
"253","48565099999","24.99","8.1132","98.316872","1990-01-01","2019-12-31",35,36,37,36,35,34,34,34,34,34,34,34
"255","48647099999","27.43","3.130583","101.549333","1990-01-01","2019-12-31",34.22,35,35.22,35.22,35.22,35,34.28,34.39,34.28,34.11,33.78,34
"257","48698099999","6.7","1.350189","103.994433","1990-01-01","2019-12-31",32.11,33.22,34,34,34,33.39,32.89,33,33,33.11,33,32.22
